id;identifier;dataset_identifier;RADIO_C14 Std_To;RADIO_CalAMS_;RADIO_CalibC14_From_yrmax;RADIO_CalibC14_From_yrmin;RADIO_CalibC14_To_yrmax;RADIO_CalibC14_To_yrmin;RADIO_CalibC14_yrmax;RADIO_CalibC14_yrmin;RADIO_TL_From;RADIO_TL_To;RADIO_UnknownCal_From;RADIO_UnknownCal_To;RADIO_UnknownRadio_;RADIO_UnknownRadio_>;RADIO;CAL__BP;CAL_From_BP;CAL_To_BP;CAL_DatingMethod;CAL__BP_2;CAL_From_BP_2;CAL_To_BP_2;CAL_DatingMethod_2;CAL_From_BP_3;CAL_To_BP_3;CAL_DatingMethod_3;CAL__BP_4;CAL_From_BP_4;CAL_To_BP_4;CAL_DatingMethod_4;CALENDAR;PER_Notes;PER_BeginBP;PER_BeginBP_From;PER_BeginBP_To;PER_EndBP;PER_EndBP_From;PER_EndBP_To;PER_Notes_2;PER_BeginBP__2;PER_BeginBP_From_2;PER_BeginBP_To_2;PER_EndBP__2;PER_EndBP_From_2;PER_EndBP_To_2;PER_Notes_3;PER_BeginBP_To_3;PER_EndBP_To_3;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;UniqueFrom;UniqueTo;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDtaes;C14_older_than_30000BP;AgeErrorMinus;AgeErrorOrPlusError;From_Method;From_AgeErrorOrPlusError;From_AgeErrorMinus;To_Method;To_AgeErrorOrPlusError;To_AgeErrorMinus;AgeFrom;AgeTo
2202;Perry Oaks (Heathrow Terminal 5)|COUN000974|S170;Perry Oaks (Heathrow Terminal 5)|COUN000974;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1700;;;1540;;;;;;;;;;;;;1;;;;;;;1540;1700;1700;1540;;;;1;;;;;;;;;;;;1700;1540
2203;Perry Oaks (Heathrow Terminal 5)|COUN000974|S227;Perry Oaks (Heathrow Terminal 5)|COUN000974;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;2599;;;2199;;;;;;;;;;;;;1;;;;;;;2199;2599;2599;2199;;;;1;;;;;;;;;;;;2599;2199
2204;Perry Oaks (Heathrow Terminal 5)|COUN000974|S229;Perry Oaks (Heathrow Terminal 5)|COUN000974;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;4049;;;3549;;;;;;;;;;;;;1;;;;;;;3549;4049;4049;3549;;;;1;;;;;;;;;;;;4049;3549
2205;Perry Oaks (Heathrow Terminal 5)|COUN000974|S277;Perry Oaks (Heathrow Terminal 5)|COUN000974;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;4049;;;3549;;;;;;;;;;;;;1;;;;;;;3549;4049;4049;3549;;;;1;;;;;;;;;;;;4049;3549
2206;Perry Oaks (Heathrow Terminal 5)|COUN000974|S802;Perry Oaks (Heathrow Terminal 5)|COUN000974;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;4049;;;3549;;;;;;;;;;;;;1;;;;;;;3549;4049;4049;3549;;;;1;;;;;;;;;;;;4049;3549
2207;Perry Oaks (Heathrow Terminal 5)|COUN000974|S828;Perry Oaks (Heathrow Terminal 5)|COUN000974;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1907;;;1540;;;;;;;;;;;;;1;;;;;;;1540;1907;1907;1540;;;;1;;;;;;;;;;;;1907;1540
2208;Perry Oaks (Heathrow Terminal 5)|COUN000974|S856;Perry Oaks (Heathrow Terminal 5)|COUN000974;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;3549;;;2599;;;4049;;;3549;;;;;1;;;;;;;2599;4049;4049;2599;;;;1;;;;;;;;;;;;4049;2599
2209;Perry Oaks (Heathrow Terminal 5)|COUN000974|S857;Perry Oaks (Heathrow Terminal 5)|COUN000974;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;3549;;;2599;;;4049;;;3549;;;;;1;;;;;;;2599;4049;4049;2599;;;;1;;;;;;;;;;;;4049;2599
2210;Piddington|COUN000252|S1;Piddington|COUN000252;;;;;;;;;;;;;;;0;;1670;1630;Typo;;;;;;;;;;;;1;;1907;;;1540;;;;;;;;;;;;;1;;;;;1630;1670;1540;1907;1670;1630;;;1;;;;;;;;;;;;;1670;1630
2211;Plaussig|COUN001100|BugsPresence;Plaussig|COUN001100;;;;;;;;;;;;;;;0;7219;;;Dendro;;;;;;;;;;;;1;;6449;;;3649;;;;;;;;;;;;;1;;;;;7219;7219;3649;6449;7219;7219;;;1;;;;;;;;;;;;;7219;7219
2212;Pluscarden|COUN000254|F23;Pluscarden|COUN000254;;;;;;;535;320;;;;;;;1;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;320;535;;;;;400;1550;535;320;1;;;;;;;;;;;;;;;535;320
2213;Plymouth|COUN000919|BugsPresence;Plymouth|COUN000919;;;;;;;;;;;;;;;0;;750;651;Typo;;;;;;;;;;;;1;;1550;;;400;;;;;;;;;;;;;1;;;;;651;750;400;1550;750;651;;;1;;;;;;;;;;;;;750;651
2214;Pode Hole|COUN000845|S8028;Pode Hole|COUN000845;;;;;;;3549;3275;;;;;;;1;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;3275;3549;;;;;;;3549;3275;1;;;;;;;;;;;;;;;3549;3275
2215;Pode Hole|COUN000845|S8131;Pode Hole|COUN000845;;;;;;;3443;3229;;;;;;;1;;3379;3569;Wiggle;;;;;;;;;;;;1;;4449;;;2549;;;;;;;;;;;;;1;3229;3443;;;3569;3379;2549;4449;3443;3229;1;;;;1;;;;;;;;;;;3443;3229
2216;Pode Hole|COUN000845|S8232;Pode Hole|COUN000845;;;;;;;3443;3229;;;;;;;1;;3409;3259;Wiggle;;;;;;;;;;;;1;;4449;;;2549;;;;;;;;;;;;;1;3229;3443;;;3259;3409;2549;4449;3443;3229;1;;;;1;;;;;;;;;;;3443;3229
2217;Pode Hole|COUN000845|S8233;Pode Hole|COUN000845;;;;;;;3443;3229;;;;;;;1;;3409;3259;Wiggle;;;;;;;;;;;;1;;4449;;;2549;;;;;;;;;;;;;1;3229;3443;;;3259;3409;2549;4449;3443;3229;1;;;;1;;;;;;;;;;;3443;3229
2218;Pode Hole|COUN000845|S9094;Pode Hole|COUN000845;;;;;;;3375;3081;;;;;;;1;;3369;3139;Wiggle;;;;;;;;;;;;1;;4449;;;2549;;;;;;;;;;;;;1;3081;3375;;;3139;3369;2549;4449;3375;3081;1;;;;1;;;;;;;;;;;3375;3081
2219;Pode Hole|COUN000845|S9713;Pode Hole|COUN000845;;;;;;;3214;2975;;;;;;;1;;3379;3149;Wiggle;;;;;;;;;;;;1;;4449;;;2549;;;;;;;;;;;;;1;2975;3214;;;3149;3379;2549;4449;3214;2975;1;;;;1;;;;;;;;;;;3214;2975
2220;Poitiers: Ilot des Cordeliers|COUN001557|P508;Poitiers: Ilot des Cordeliers|COUN001557;;;;;;;;;;;;;;;0;;1750;1651;Typo;;;;;;;;;;;;1;;2009;;;1500;;;;;;;;;;;;;1;;;;;1651;1750;1500;2009;1750;1651;;;1;;;;;;;;;;;;;1750;1651
2221;Pomeroy Wood|COUN000255|C4478;Pomeroy Wood|COUN000255;;;;;;;;;;;;;;;0;;1905;1870;ArchCal;;;;;;;;;;;;1;;1907;;;1540;;;;;;;;;;;;;1;;;;;1870;1905;1540;1907;1905;1870;;;1;;;;;;;;;;;;;1905;1870
