id;identifier;dataset_identifier;ZorDepthTop;ZorDepthBot;RADIO_CalibC14_Notes_simpl;RADIO_CalibC14__yrmax;RADIO_CalibC14__yrmin;RADIO_CalibC14_from_yrmax;RADIO_CalibC14_from_yrmin;RADIO_CalibC14_to_yrmax;RADIO_CalibC14_to_yrmin;RADIO_CalibC14_Notes_simpl_2;RADIO_CalibC14_from_yrmax_2;RADIO_CalibC14_from_yrmin_2;RADIO_C14_BeyondCalibration;RADIO_C14_BeyondCalibration_From;RADIO_C14_BeyondCalibration_To;RADIO_Method;RADIO_AAR_;RADIO_ESR_;RADIO_TL_;RADIO_TL_from;RADIO_TL_to;RADIO_U-Series_from;RADIO_U234/U238_;RADIO_UnknownRadio_.x;RADIO_UnknownRadio_from;RADIO_UnknownRadio_to;RADIO_AAR__2;RADIO_ESR__2;RADIO_TL__2;RADIO_TL_from_2;RADIO_TL_to_2;RADIO_UnknownRadio_.y;RADIO_AAR__3;RADIO_TL__3;RADIO_AAR__4;RADIO_AAR__5;RADIO;CAL__BP;CAL_From_BP;CAL_To_BP;CAL_DatingMethod;CAL_From_BP_2;CAL_To_BP_2;CAL_DatingMethod_2;CALENDAR;PER_Notes;PER_BeginBP;PER_BeginBP_From;PER_BeginBP_To;PER_EndBP;PER_EndBP_From;PER_EndBP_To;PER_Notes_2;PER_BeginBP__2;PER_BeginBP_From_2;PER_BeginBP_To_2;PER_EndBP__2;PER_EndBP_From_2;PER_EndBP_To_2;PER_Notes_3;PER_BeginBP__3;PER_EndBP__3;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;UniqueFrom;UniqueTo;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDtaes;C14_older_than_30000BP;AgeErrorOrPlusError;AgeErrorMinus;Chosen_C14_AgeDepthModel;From_Method;From_AgeErrorOrPlusError;From_AgeErrorMinus;To_Method;To_AgeErrorOrPlusError;To_AgeErrorMinus;AgeFrom;AgeTo
4068;Waverley Wood, Bubbenhall|COUN000770|d50;Waverley Wood, Bubbenhall|COUN000770;55;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
4069;Waverley Wood, Bubbenhall|COUN000770|d55;Waverley Wood, Bubbenhall|COUN000770;60;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
4070;Waverley Wood, Bubbenhall|COUN000770|d60;Waverley Wood, Bubbenhall|COUN000770;65;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
4071;Waverley Wood, Bubbenhall|COUN000770|d65;Waverley Wood, Bubbenhall|COUN000770;70;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
4072;Wellington|COUN000789|BugsPresence;Wellington|COUN000789;;;;16038;13729;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0;;13500;;;10000;;;;;;;;;;;;;1;13729;16038;;;;;10000;13500;16038;13729;1;;;;;;;;;;;;;;;;16038;13729
4073;Wensum|COUN001345|Gravel_1;Wensum|COUN001345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;110;;;Unknown;;;;1;;400;;;0;;;;;;;;;;;;;1;;;;;110;110;0;400;110;110;;;1;;;;;;;;;;;;;;110;110
4074;Wensum|COUN001345|Gravel_2;Wensum|COUN001345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;110;;;Unknown;;;;1;;400;;;0;;;;;;;;;;;;;1;;;;;110;110;0;400;110;110;;;1;;;;;;;;;;;;;;110;110
4075;Wensum|COUN001345|S1;Wensum|COUN001345;50;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;110;;;Unknown;;;;1;;400;;;0;;;;;;;;;;;;;1;;;;;110;110;0;400;110;110;;;1;;;;;;;;;;;;;;110;110
4076;Wensum|COUN001345|S2;Wensum|COUN001345;60;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;110;;;Unknown;;;;1;;400;;;0;;;;;;;;;;;;;1;;;;;110;110;0;400;110;110;;;1;;;;;;;;;;;;;;110;110
4077;Wensum|COUN001345|S3;Wensum|COUN001345;70;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;110;;;Unknown;;;;1;;400;;;0;;;;;;;;;;;;;1;;;;;110;110;0;400;110;110;;;1;;;;;;;;;;;;;;110;110
4078;Wensum|COUN001345|S4;Wensum|COUN001345;100;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;110;;;Unknown;;;;1;;400;;;0;;;;;;;;;;;;;1;;;;;110;110;0;400;110;110;;;1;;;;;;;;;;;;;;110;110
4079;Wensum|COUN001345|S5;Wensum|COUN001345;140;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;110;;;Unknown;;;;1;;400;;;0;;;;;;;;;;;;;1;;;;;110;110;0;400;110;110;;;1;;;;;;;;;;;;;;110;110
4080;Verona|COUN001400|BugsPresence;Vero|COUN001400;;;;;;;;;;;;;;;;;;;;;;;;18870;;;;;;;;;;;;;1;;;;;;;;0;;29000;;;11700;;;;;;;;;;;;;1;;;;;;;11700;29000;29000;11700;;;;1;;;;;;;;;;;;;29000;11700
4081;West Bromwich|COUN000356|A;West Bromwich|COUN000356;140;150;;14864;13760;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0;;13500;;;10000;;;;;;;;;;;;;1;13760;14864;;;;;10000;13500;14864;13760;1;;;;;;;;;1;;;;;;;14864;13760
4082;West Bromwich|COUN000356|B;West Bromwich|COUN000356;130;140;;14921;13760;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;13760;14921;;;;;10000;13500;14921;13760;1;;;;;;;;;1;;;;;;;14921;13760
4083;West Bromwich|COUN000356|C;West Bromwich|COUN000356;120;130;;14099;13191;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;13191;14099;;;;;10000;13500;14099;13191;1;;;;;;;;;1;;;;;;;14099;13191
4084;West Bromwich|COUN000356|D;West Bromwich|COUN000356;110;120;;13284;12588;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;12588;13284;;;;;10000;13500;13284;12588;1;;;;;;;;;1;;;;;;;13284;12588
4085;West Bromwich|COUN000356|E;West Bromwich|COUN000356;100;110;;12577;11953;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;11953;12577;;;;;10000;13500;12577;11953;1;;;;;;;;;1;;;;;;;12577;11953
4086;West Bromwich|COUN000356|F;West Bromwich|COUN000356;90;100;;11963;11266;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;11266;11963;;;;;10000;13500;11963;11266;1;;;;;;;;;1;;;;;;;11963;11266
4087;West Bromwich|COUN000356|G;West Bromwich|COUN000356;80;90;;11662;11118;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;11118;11662;;;;;10000;13500;11662;11118;1;;;;;;;;;1;;;;;;;11662;11118
4088;West Bromwich|COUN000356|H;West Bromwich|COUN000356;70;80;;11386;10963;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;10963;11386;;;;;10000;13500;11386;10963;1;;;;;;;;;1;;;;;;;11386;10963
4089;West Bromwich|COUN000356|I;West Bromwich|COUN000356;60;70;;11134;10771;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;10771;11134;;;;;10000;13500;11134;10771;1;;;;;;;;;1;;;;;;;11134;10771
4090;West Bromwich|COUN000356|J;West Bromwich|COUN000356;50;60;;10955;10544;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;10544;10955;;;;;10000;13500;10955;10544;1;;;;;;;;;1;;;;;;;10955;10544
4091;West Bromwich|COUN000356|K;West Bromwich|COUN000356;40;50;;10971;10556;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;10556;10971;;;;;10000;13500;10971;10556;1;;;;;;;;;1;;;;;;;10971;10556
4092;West Bromwich|COUN000356|L;West Bromwich|COUN000356;30;40;;11085;10427;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;10427;11085;;;;;10000;13500;11085;10427;1;;;;;;;;;1;;;;;;;11085;10427
4093;West Bromwich|COUN000356|M;West Bromwich|COUN000356;20;30;;11676;9212;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;9212;11676;;;;;10000;13500;11676;9212;1;;;;;;;;;1;;;;;;;11676;9212
4094;West Bromwich|COUN000356|N;West Bromwich|COUN000356;10;20;;12531;7630;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;7630;12531;;;;;10000;13500;12531;7630;1;;;;;;;;;1;;;;;;;12531;7630
4095;West Cotton|COUN001205|C1;West Cotton|COUN001205;;;;4782;4259;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0;;6449;;;3649;;;;;;;;;;;;;1;4259;4782;;;;;3649;6449;4782;4259;1;;;;;;;;;;;;;;;;4782;4259
4096;West Cotton|COUN001205|C16;West Cotton|COUN001205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;6449;;;3649;;;;;;;;;;;;;1;;;;;;;3649;6449;6449;3649;;;;1;;;;;;;;;;;;;6449;3649
4097;West Cotton|COUN001205|C19;West Cotton|COUN001205;;;;4874;4713;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0;;6449;;;3649;;;;;;;;;;;;;1;4713;4874;;;;;3649;6449;4874;4713;1;;;;;;;;;;;;;;;;4874;4713
4098;West Cotton|COUN001205|C2;West Cotton|COUN001205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;4449;;;2549;;;;;;;;;;;;;1;;;;;;;2549;4449;4449;2549;;;;1;;;;;;;;;;;;;4449;2549
4099;West Cotton|COUN001205|C8;West Cotton|COUN001205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
4100;West Cotton|COUN001205|C9;West Cotton|COUN001205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
4101;West Cotton|COUN001205|CC;West Cotton|COUN001205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
4102;West Cotton|COUN001206|B139_S6;West Cotton|COUN001206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
4103;West Cotton|COUN001206|B139_S7;West Cotton|COUN001206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;1540;;;884;;;;;;;;;;;;;1;;;;;;;884;1540;1540;884;;;;1;;;;;;;;;;;;;1540;884
4104;West Cotton|COUN001206|B141_S8;West Cotton|COUN001206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;10000;;;7000;;;;;;;;;;;;;1;;;;;;;7000;10000;10000;7000;;;;1;;;;;;;;;;;;;10000;7000
4105;West Cotton|COUN001206|B141_S9;West Cotton|COUN001206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;10000;;;0;;;;;;;;;;;;;1;;;;;;;0;10000;10000;0;;;;1;;;;;;;;;;;;;10000;0
4106;West Cotton|COUN001386|BugsPresence;West Cotton|COUN001386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;1540;;;884;;;;;;;;;;;;;1;;;;;;;884;1540;1540;884;;;;1;;;;;;;;;;;;;1540;884
4107;West Drayton|COUN000357|S1;West Drayton|COUN000357;;;;13307;12808;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0;;13500;;;10000;;;;;;;;;;;;;1;12808;13307;;;;;10000;13500;13307;12808;1;;;;;;;;;;;;;;;;13307;12808
4108;West Heslerton|COUN001600|102AB/0_10;West Heslerton|COUN001600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2051;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;2051;2051;;;2051;2051;;;1;;;;;;;;;;;;;;2051;2051
4109;West Heslerton|COUN001600|108AA/0_10;West Heslerton|COUN001600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1850;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;1850;1850;;;1850;1850;;;1;;;;;;;;;;;;;;1850;1850
