id;identifier;dataset_identifier;ZorDepthTop;ZorDepthBot;RADIO_CalibC14_Notes_simpl;RADIO_CalibC14__yrmax;RADIO_CalibC14__yrmin;RADIO_CalibC14_from_yrmax;RADIO_CalibC14_from_yrmin;RADIO_CalibC14_to_yrmax;RADIO_CalibC14_to_yrmin;RADIO_CalibC14_Notes_simpl_2;RADIO_CalibC14_from_yrmax_2;RADIO_CalibC14_from_yrmin_2;RADIO_C14_BeyondCalibration;RADIO_C14_BeyondCalibration_From;RADIO_C14_BeyondCalibration_To;RADIO_Method;RADIO_AAR_;RADIO_ESR_;RADIO_TL_;RADIO_TL_from;RADIO_TL_to;RADIO_U-Series_from;RADIO_U234/U238_;RADIO_UnknownRadio_.x;RADIO_UnknownRadio_from;RADIO_UnknownRadio_to;RADIO_AAR__2;RADIO_ESR__2;RADIO_TL__2;RADIO_TL_from_2;RADIO_TL_to_2;RADIO_UnknownRadio_.y;RADIO_AAR__3;RADIO_TL__3;RADIO_AAR__4;RADIO_AAR__5;RADIO;CAL__BP;CAL_From_BP;CAL_To_BP;CAL_DatingMethod;CAL_From_BP_2;CAL_To_BP_2;CAL_DatingMethod_2;CALENDAR;PER_Notes;PER_BeginBP;PER_BeginBP_From;PER_BeginBP_To;PER_EndBP;PER_EndBP_From;PER_EndBP_To;PER_Notes_2;PER_BeginBP__2;PER_BeginBP_From_2;PER_BeginBP_To_2;PER_EndBP__2;PER_EndBP_From_2;PER_EndBP_To_2;PER_Notes_3;PER_BeginBP__3;PER_EndBP__3;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;UniqueFrom;UniqueTo;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDtaes;C14_older_than_30000BP;AgeErrorOrPlusError;AgeErrorMinus;Chosen_C14_AgeDepthModel;From_Method;From_AgeErrorOrPlusError;From_AgeErrorMinus;To_Method;To_AgeErrorOrPlusError;To_AgeErrorMinus;AgeFrom;AgeTo
1;Abbots Way|COUN000449|BugsPresence;Abbots Way|COUN000449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
2;Abbots Way|COUN000449|S1;Abbots Way|COUN000449;0;5;;1989;1827;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0;;5000;;;0;;;;;;;;;;;;;1;1827;1989;;;;;0;5000;1989;1827;1;;;;;;;;;1;;;;;;;1989;1827
3;Abbots Way|COUN000449|S10;Abbots Way|COUN000449;45;50;;3303;3098;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3098;3303;;;;;0;5000;3303;3098;1;;;;;;;;;1;;;;;;;3303;3098
4;Abbots Way|COUN000449|S11;Abbots Way|COUN000449;50;55;;3455;3229;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3229;3455;;;;;0;5000;3455;3229;1;;;;;;;;;1;;;;;;;3455;3229
5;Abbots Way|COUN000449|S12;Abbots Way|COUN000449;55;60;;3606;3368;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3368;3606;;;;;0;5000;3606;3368;1;;;;;;;;;1;;;;;;;3606;3368
6;Abbots Way|COUN000449|S13;Abbots Way|COUN000449;60;65;;3759;3501;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3501;3759;;;;;0;5000;3759;3501;1;;;;;;;;;1;;;;;;;3759;3501
7;Abbots Way|COUN000449|S14;Abbots Way|COUN000449;65;70;;3911;3633;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3633;3911;;;;;0;5000;3911;3633;1;;;;;;;;;1;;;;;;;3911;3633
8;Abbots Way|COUN000449|S15;Abbots Way|COUN000449;70;75;;4065;3769;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; Level of Trackway;5000;;;0;;;;;;;;;;;;;1;3769;4065;;;;;0;5000;4065;3769;1;;;;;;;;;1;;;;;;;4065;3769
9;Abbots Way|COUN000449|S16;Abbots Way|COUN000449;75;80;;4100;3808;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3808;4100;;;;;0;5000;4100;3808;1;;;;;;;;;1;;;;;;;4100;3808
10;Abbots Way|COUN000449|S17;Abbots Way|COUN000449;80;85;;4135;3847;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3847;4135;;;;;0;5000;4135;3847;1;;;;;;;;;1;;;;;;;4135;3847
11;Abbots Way|COUN000449|S18;Abbots Way|COUN000449;85;90;;4168;3890;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3890;4168;;;;;0;5000;4168;3890;1;;;;;;;;;1;;;;;;;4168;3890
12;Abbots Way|COUN000449|S19;Abbots Way|COUN000449;90;95;;4203;3931;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3931;4203;;;;;0;5000;4203;3931;1;;;;;;;;;1;;;;;;;4203;3931
13;Abbots Way|COUN000449|S2;Abbots Way|COUN000449;5;10;;2128;1974;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;1974;2128;;;;;0;5000;2128;1974;1;;;;;;;;;1;;;;;;;2128;1974
14;Abbots Way|COUN000449|S20;Abbots Way|COUN000449;95;100;;4237;3971;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3971;4237;;;;;0;5000;4237;3971;1;;;;;;;;;1;;;;;;;4237;3971
15;Abbots Way|COUN000449|S21;Abbots Way|COUN000449;100;105;;4273;4010;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4010;4273;;;;;0;5000;4273;4010;1;;;;;;;;;1;;;;;;;4273;4010
16;Abbots Way|COUN000449|S22;Abbots Way|COUN000449;105;110;;4308;4051;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4051;4308;;;;;0;5000;4308;4051;1;;;;;;;;;1;;;;;;;4308;4051
17;Abbots Way|COUN000449|S23;Abbots Way|COUN000449;110;115;;4342;4096;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4096;4342;;;;;0;5000;4342;4096;1;;;;;;;;;1;;;;;;;4342;4096
18;Abbots Way|COUN000449|S24;Abbots Way|COUN000449;115;120;;4378;4138;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4138;4378;;;;;0;5000;4378;4138;1;;;;;;;;;1;;;;;;;4378;4138
19;Abbots Way|COUN000449|S25;Abbots Way|COUN000449;120;125;;4412;4182;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4182;4412;;;;;0;5000;4412;4182;1;;;;;;;;;1;;;;;;;4412;4182
20;Abbots Way|COUN000449|S26;Abbots Way|COUN000449;125;130;;4449;4223;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4223;4449;;;;;0;5000;4449;4223;1;;;;;;;;;1;;;;;;;4449;4223
21;Abbots Way|COUN000449|S27;Abbots Way|COUN000449;130;135;;4485;4264;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4264;4485;;;;;0;5000;4485;4264;1;;;;;;;;;1;;;;;;;4485;4264
22;Abbots Way|COUN000449|S28;Abbots Way|COUN000449;135;140;;4519;4305;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4305;4519;;;;;0;5000;4519;4305;1;;;;;;;;;1;;;;;;;4519;4305
23;Abbots Way|COUN000449|S29;Abbots Way|COUN000449;140;145;;4553;4347;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4347;4553;;;;;0;5000;4553;4347;1;;;;;;;;;1;;;;;;;4553;4347
24;Abbots Way|COUN000449|S3;Abbots Way|COUN000449;10;15;;2269;2119;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;2119;2269;;;;;0;5000;2269;2119;1;;;;;;;;;1;;;;;;;2269;2119
25;Abbots Way|COUN000449|S30;Abbots Way|COUN000449;145;150;;4587;4386;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4386;4587;;;;;0;5000;4587;4386;1;;;;;;;;;1;;;;;;;4587;4386
26;Abbots Way|COUN000449|S31;Abbots Way|COUN000449;150;155;;4625;4423;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4423;4625;;;;;0;5000;4625;4423;1;;;;;;;;;1;;;;;;;4625;4423
27;Abbots Way|COUN000449|S32;Abbots Way|COUN000449;155;160;;4660;4461;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4461;4660;;;;;0;5000;4660;4461;1;;;;;;;;;1;;;;;;;4660;4461
28;Abbots Way|COUN000449|S33;Abbots Way|COUN000449;160;165;;4695;4501;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4501;4695;;;;;0;5000;4695;4501;1;;;;;;;;;1;;;;;;;4695;4501
29;Abbots Way|COUN000449|S34;Abbots Way|COUN000449;165;170;;4732;4539;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4539;4732;;;;;0;5000;4732;4539;1;;;;;;;;;1;;;;;;;4732;4539
30;Abbots Way|COUN000449|S35;Abbots Way|COUN000449;170;175;;4768;4575;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4575;4768;;;;;0;5000;4768;4575;1;;;;;;;;;1;;;;;;;4768;4575
31;Abbots Way|COUN000449|S36;Abbots Way|COUN000449;175;180;;4806;4612;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4612;4806;;;;;0;5000;4806;4612;1;;;;;;;;;1;;;;;;;4806;4612
32;Abbots Way|COUN000449|S37;Abbots Way|COUN000449;180;185;;4842;4648;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4648;4842;;;;;0;5000;4842;4648;1;;;;;;;;;1;;;;;;;4842;4648
33;Abbots Way|COUN000449|S38;Abbots Way|COUN000449;185;190;;4881;4684;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4684;4881;;;;;0;5000;4881;4684;1;;;;;;;;;1;;;;;;;4881;4684
34;Abbots Way|COUN000449|S39;Abbots Way|COUN000449;190;195;;4919;4721;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4721;4919;;;;;0;5000;4919;4721;1;;;;;;;;;1;;;;;;;4919;4721
35;Abbots Way|COUN000449|S4;Abbots Way|COUN000449;15;20;;2410;2265;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;2265;2410;;;;;0;5000;2410;2265;1;;;;;;;;;1;;;;;;;2410;2265
36;Abbots Way|COUN000449|S40;Abbots Way|COUN000449;195;200;;4958;4756;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4756;4958;;;;;0;5000;4958;4756;1;;;;;;;;;1;;;;;;;4958;4756
37;Abbots Way|COUN000449|S41;Abbots Way|COUN000449;200;205;;4997;4791;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4791;4997;;;;;0;5000;4997;4791;1;;;;;;;;;1;;;;;;;4997;4791
38;Abbots Way|COUN000449|S42;Abbots Way|COUN000449;205;210;;5037;4825;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4825;5037;;;;;0;5000;5037;4825;1;;;;;;;;;1;;;;;;;5037;4825
39;Abbots Way|COUN000449|S43;Abbots Way|COUN000449;210;215;;5077;4859;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4859;5077;;;;;0;5000;5077;4859;1;;;;;;;;;1;;;;;;;5077;4859
40;Abbots Way|COUN000449|S44;Abbots Way|COUN000449;215;220;;5116;4893;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4893;5116;;;;;0;5000;5116;4893;1;;;;;;;;;1;;;;;;;5116;4893
41;Abbots Way|COUN000449|S45;Abbots Way|COUN000449;220;225;;5154;4928;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4928;5154;;;;;0;5000;5154;4928;1;;;;;;;;;1;;;;;;;5154;4928
42;Abbots Way|COUN000449|S46;Abbots Way|COUN000449;225;230;;5194;4961;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4961;5194;;;;;0;5000;5194;4961;1;;;;;;;;;1;;;;;;;5194;4961
43;Abbots Way|COUN000449|S47;Abbots Way|COUN000449;230;235;;5235;4997;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4997;5235;;;;;0;5000;5235;4997;1;;;;;;;;;1;;;;;;;5235;4997
44;Abbots Way|COUN000449|S48;Abbots Way|COUN000449;235;240;;5273;5032;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;5032;5273;;;;;0;5000;5273;5032;1;;;;;;;;;1;;;;;;;5273;5032
45;Abbots Way|COUN000449|S49;Abbots Way|COUN000449;240;245;;5312;5068;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;5068;5312;;;;;0;5000;5312;5068;1;;;;;;;;;1;;;;;;;5312;5068
46;Abbots Way|COUN000449|S5;Abbots Way|COUN000449;20;25;;2552;2410;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;2410;2552;;;;;0;5000;2552;2410;1;;;;;;;;;1;;;;;;;2552;2410
47;Abbots Way|COUN000449|S50;Abbots Way|COUN000449;245;250;;5352;5103;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;5103;5352;;;;;0;5000;5352;5103;1;;;;;;;;;1;;;;;;;5352;5103
48;Abbots Way|COUN000449|S51;Abbots Way|COUN000449;250;255;;5393;5137;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;5137;5393;;;;;0;5000;5393;5137;1;;;;;;;;;1;;;;;;;5393;5137
49;Abbots Way|COUN000449|S52;Abbots Way|COUN000449;255;260;;5433;5172;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;5172;5433;;;;;0;5000;5433;5172;1;;;;;;;;;1;;;;;;;5433;5172
50;Abbots Way|COUN000449|S53;Abbots Way|COUN000449;260;265;;5474;5206;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;5206;5474;;;;;0;5000;5474;5206;1;;;;;;;;;1;;;;;;;5474;5206
51;Abbots Way|COUN000449|S54;Abbots Way|COUN000449;265;270;;5516;5241;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;5241;5516;;;;;0;5000;5516;5241;1;;;;;;;;;1;;;;;;;5516;5241
52;Abbots Way|COUN000449|S55;Abbots Way|COUN000449;270;275;;5556;5274;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;5274;5556;;;;;0;5000;5556;5274;1;;;;;;;;;1;;;;;;;5556;5274
53;Abbots Way|COUN000449|S56;Abbots Way|COUN000449;275;280;;5598;5308;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;5308;5598;;;;;0;5000;5598;5308;1;;;;;;;;;1;;;;;;;5598;5308
54;Abbots Way|COUN000449|S57;Abbots Way|COUN000449;280;285;;5638;5343;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;5343;5638;;;;;0;5000;5638;5343;1;;;;;;;;;1;;;;;;;5638;5343
55;Abbots Way|COUN000449|S6;Abbots Way|COUN000449;25;30;;2698;2551;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;2551;2698;;;;;0;5000;2698;2551;1;;;;;;;;;1;;;;;;;2698;2551
56;Abbots Way|COUN000449|S7;Abbots Way|COUN000449;30;35;;2847;2691;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;2691;2847;;;;;0;5000;2847;2691;1;;;;;;;;;1;;;;;;;2847;2691
57;Abbots Way|COUN000449|S8;Abbots Way|COUN000449;35;40;;2999;2833;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;2833;2999;;;;;0;5000;2999;2833;1;;;;;;;;;1;;;;;;;2999;2833
58;Abbots Way|COUN000449|S9;Abbots Way|COUN000449;40;45;;3151;2963;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;2963;3151;;;;;0;5000;3151;2963;1;;;;;;;;;1;;;;;;;3151;2963
59;Abercynafon|COUN000451|S199;Abercyfon|COUN000451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;6449;;;3649;;;;;;;;;;;;;1;;;;;;;3649;6449;6449;3649;;;;1;;;;;;;;;;;;;6449;3649
60;Abercynafon|COUN000451|S200;Abercyfon|COUN000451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;6449;;;3649;;;;;;;;;;;;;1;;;;;;;3649;6449;6449;3649;;;;1;;;;;;;;;;;;;6449;3649
61;Abercynafon|COUN000451|S204;Abercyfon|COUN000451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;6449;;;3649;;;;;;;;;;;;;1;;;;;;;3649;6449;6449;3649;;;;1;;;;;;;;;;;;;6449;3649
62;Abercynafon|COUN000451|S206;Abercyfon|COUN000451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;6449;;;3649;;;;;;;;;;;;;1;;;;;;;3649;6449;6449;3649;;;;1;;;;;;;;;;;;;6449;3649
63;Abercynafon|COUN000451|S208;Abercyfon|COUN000451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;6449;;;3649;;;;;;;;;;;;;1;;;;;;;3649;6449;6449;3649;;;;1;;;;;;;;;;;;;6449;3649
64;Abercynafon|COUN000451|S214;Abercyfon|COUN000451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;6449;;;3649;;;;;;;;;;;;;1;;;;;;;3649;6449;6449;3649;;;;1;;;;;;;;;;;;;6449;3649
65;Abercynafon|COUN000451|S219;Abercyfon|COUN000451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;6449;;;3649;;;;;;;;;;;;;1;;;;;;;3649;6449;6449;3649;;;;1;;;;;;;;;;;;;6449;3649
66;Abercynafon|COUN000451|S571;Abercyfon|COUN000451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;6449;;;3649;;;;;;;;;;;;;1;;;;;;;3649;6449;6449;3649;;;;1;;;;;;;;;;;;;6449;3649
67;Abingdon|COUN000448|S0-3cm;Abingdon|COUN000448;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
68;Abingdon|COUN000448|S14-19cm;Abingdon|COUN000448;14;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
69;Abingdon|COUN000448|S19-24cm;Abingdon|COUN000448;19;24;;16415;15347;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;15347;16415;;;;;10000;13500;16415;15347;1;;;;;;;;;;;;;;;;16415;15347
70;Abingdon|COUN000448|S24-29cm;Abingdon|COUN000448;24;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
71;Abingdon|COUN000448|S29-34cm;Abingdon|COUN000448;29;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
72;Abingdon|COUN000448|S3-5cm;Abingdon|COUN000448;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
73;Abingdon|COUN000448|S34-39cm;Abingdon|COUN000448;34;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
74;Abingdon|COUN000448|S39-45cm;Abingdon|COUN000448;39;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
75;Abingdon|COUN000448|S45-50_5cm;Abingdon|COUN000448;45;50,5;BEYOND_CALIB;;;;;;;;;;;47700;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
76;Abingdon|COUN000448|S5-9cm;Abingdon|COUN000448;5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
77;Abingdon|COUN000448|S50_5-56cm;Abingdon|COUN000448;50,5;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
78;Abingdon|COUN000448|S56-61cm;Abingdon|COUN000448;56;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
79;Abingdon|COUN000448|S61-65cm;Abingdon|COUN000448;61;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
80;Abingdon|COUN000448|S65-69cm;Abingdon|COUN000448;65;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
81;Abingdon|COUN000448|S69-77cm;Abingdon|COUN000448;69;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
82;Abingdon|COUN000448|S77-83cm;Abingdon|COUN000448;77;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
83;Abingdon|COUN000448|S83-89cm;Abingdon|COUN000448;83;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
84;Abingdon|COUN000448|S89-92cm;Abingdon|COUN000448;89;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0; ;13500;;;10000;;;;;;;;;;;;;1;;;;;;;10000;13500;13500;10000;;;;1;;;;;;;;;;;;;13500;10000
