identifier,Chosen_C14,Chosen_OtherRadio,Chosen_Calendar,Chosen_Period,AgeFrom,AgeTo
London: James St.|COUN001706|BugsPresence,,,True,,1275,1225
Meare Village East|COUN001741|BugsPresence,,,,True,2599,1900
Mikulcice|COUN001699|BugsPresence,,,True,,1250,1050
Mohelnice|COUN001700|BugsPresence,,,True,,4500,4500
Mohelnice|COUN001703|BugsPresence,,,True,,4749,4749
Mynydd Parys|COUN001730|S1,True,,,,3974,3642
Mynydd Parys|COUN001730|S3_1-2,True,,,,3974,3696
Mynydd Parys|COUN001730|S3_11,True,,,,3974,3696
Mynydd Parys|COUN001730|S3_14,True,,,,3974,3696
Mynydd Parys|COUN001730|S3_15,True,,,,3974,3696
Mynydd Parys|COUN001730|S3_3-5,True,,,,3974,3696
Mynydd Parys|COUN001730|S3_9A-6,True,,,,3974,3696
Mynydd Parys|COUN001730|S3_9B,True,,,,3974,3696
Odense|COUN001758|BugsPresence,,,True,,980,780
Peterborough: Long Causeway|COUN001686|BugsPresence,,,,True,1550,400
Salford|COUN001689|BugsPresence,,,,True,2599,1900
Santorini (Thera)|COUN001752|3C,,,,True,3549,2599
Santorini (Thera)|COUN001752|S5,,,,True,3549,2599
Santorini (Thera)|COUN001752|S6,,,,True,3549,2599
Santorini (Thera)|COUN001752|Sewer,,,,True,3549,2599
Standlake: Old Shifford Farm|COUN001727|BugsPresence,,,,True,1907,1540
Unlocated Mummy 2|COUN001688|Mummy,,,True,,2749,2699
Valmagne Abbey Cartulary|COUN001724|BugsPresence,,,True,,550,451
Waterford: Barronstrand St|COUN001698|BugsPresence,,,,True,1550,400
Winchester: Cathedral Close|COUN001697|309-10,,,,,,
Winchester: Cathedral Close|COUN001697|322-3,,,,True,1907,1540
Winchester: Lower Brook Street|COUN001750|244-1,,,True,,950,900
Winchester: Lower Brook Street|COUN001750|244-2,,,True,,950,900
Winchester: Lower Brook Street|COUN001750|244-3,,,True,,950,900
Winchester: Lower Brook Street|COUN001750|244-4,,,True,,950,900
Winchester: Lower Brook Street|COUN001750|266-1,,,True,,950,900
Winchester: Lower Brook Street|COUN001750|266-2,,,True,,950,900
Winchester: Lower Brook Street|COUN001750|271,,,True,,950,900
Winchester: Lower Brook Street|COUN001750|283-1,,,True,,1000,950
Winchester: Lower Brook Street|COUN001750|283-2,,,True,,1000,950
Winchester: Lower Brook Street|COUN001750|283-3,,,True,,1000,950
Winchester: Lower Brook Street|COUN001750|294,,,True,,950,900
Worcester: The Hive|COUN001738|BugsPresence,,,True,,315,285
Worcester: The Hive|COUN001738|S1,,,True,,315,285
Worcester: The Hive|COUN001738|S2,,,True,,315,285
Worcester: The Hive|COUN001738|S3,,,True,,315,285
Worcester: The Hive|COUN001738|S4,,,True,,315,285
Worcester: The Hive|COUN001738|S5,,,True,,315,285
Worcester: The Hive|COUN001738|S6,,,True,,315,285
York: Walmgate 1995|COUN001739|C32,,,,True,1550,400
