identifier,Chosen_C14,Chosen_OtherRadio,Chosen_Calendar,Chosen_Period,AgeFrom,AgeTo
Aston on Trent|COUN001732|<11>,,,,True,10000,0
Aston on Trent|COUN001732|<12>,,,True,,3469,3339
Aston on Trent|COUN001732|<17>,,,,True,10000,0
Aston on Trent|COUN001732|<18>,,,,True,10000,0
Aston on Trent|COUN001732|<3-4>,,,,True,10000,0
Aston on Trent|COUN001732|<44>,,,,True,10000,0
Aston on Trent|COUN001732|<46>,,,True,,3549,3209
Aston on Trent|COUN001732|<47>,,,,True,10000,0
Aston on Trent|COUN001732|<5>,,,True,,3389,3209
Aston on Trent|COUN001732|<51>,,,True,,3549,3209
Aston on Trent|COUN001732|<52>,,,,True,10000,0
Aston on Trent|COUN001732|<6>,,,,True,10000,0
Aston on Trent|COUN001732|<7>,,,True,,3389,3259
Barrow-upon-Trent|COUN001729|S1,,,,,,
Barrow-upon-Trent|COUN001729|S2,,,,,,
Barrow-upon-Trent|COUN001729|S3,,,,,,
Barrow-upon-Trent|COUN001729|S4,,,,,,
Barrow-upon-Trent|COUN001729|S5,,,,,,
Barrow-upon-Trent|COUN001729|S6,,,,,,
Barrow-upon-Trent|COUN001729|S7,,,,,,
Bay of Ireland|COUN001705|S100-110,True,,,,10000,5060
Bay of Ireland|COUN001705|S110-120,,,,True,10000,0
Bay of Ireland|COUN001705|S120-130,,,,True,10000,0
Bay of Ireland|COUN001705|S130-140,,,,True,10000,0
Bay of Ireland|COUN001705|S140-150,,,,True,10000,0
Bay of Ireland|COUN001705|S150-160,,,,True,10000,0
Bay of Ireland|COUN001705|S160-170,True,,,,6390,6200
Bay of Ireland|COUN001705|S170-180,,,,True,10000,0
Bay of Ireland|COUN001705|S180-190,,,,True,10000,0
Bay of Ireland|COUN001705|S190-200,True,,,,6940,0
Chelford: Norfolk Farm (Oakwood West)|COUN001754|C3a,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|C3b,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|C3c,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|C3d,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|COS,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM1,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM1B,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM2,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM2B,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM3,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM3B,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM4,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM4B,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM5,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM5B,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM6,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM6B,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM7,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM7B,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|SP,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|SWM1a,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|SWM1b,,True,,,851100,810700
Chelford: Norfolk Farm (Oakwood West)|COUN001754|SWM1c,,True,,,851100,810700
Culm valley|COUN001712|S110-125,,,,,,
Culm valley|COUN001712|S125-140,,,,,,
Culm valley|COUN001712|S140-155,,,,,,
Culm valley|COUN001712|S155-170,,,,,,
Culm valley|COUN001712|S95-110,,,,,,
Culm valley|COUN001713|Columbjohn_Bar,,,,,,
Culm valley|COUN001713|Columbjohn_Cutoff_1a,,,,,,
Culm valley|COUN001713|Columbjohn_Cutoff_1b,,,,,,
Culm valley|COUN001713|Columbjohn_Cutoff_2a,,,,,,
Culm valley|COUN001713|Columbjohn_Cutoff_2b,,,,,,
Culm valley|COUN001713|Columbjohn_Ditch,,,,,,
Culm valley|COUN001713|Columbjohn_Overbank_1,,,,,,
Culm valley|COUN001713|Columbjohn_Overbank_2,,,,,,
Culm valley|COUN001713|Columbjohn_Pond_1,,,,,,
Culm valley|COUN001713|Columbjohn_Pond_2,,,,,,
Culm valley|COUN001713|Columbjohn10_150-160,,,,,,
Culm valley|COUN001713|Columbjohn10_160-170,,,,,,
Culm valley|COUN001713|Columbjohn11_135-150,,,,,,
Culm valley|COUN001713|Columbjohn3__180-190,,,,,,
Culm valley|COUN001713|Columbjohn3_140-150,,,,,,
Culm valley|COUN001713|Columbjohn3_150-160,,,,,,
Culm valley|COUN001713|Columbjohn3_160-170,,,,,,
Culm valley|COUN001713|Columbjohn3_170-180,,,,,,
Culm valley|COUN001713|Cutton_Alders_100-110,,,,,,
Culm valley|COUN001713|Cutton_Alders_110-120,,,,,,
Culm valley|COUN001713|Cutton_Alders_120-130,,,,,,
Culm valley|COUN001713|Cutton_Alders_50-60,,,,,,
Culm valley|COUN001713|Cutton_Alders_60-70,,,,,,
Culm valley|COUN001713|Cutton_Alders_70-80,,,,,,
Culm valley|COUN001713|Cutton_Alders_90-100,,,,,,
Culm valley|COUN001713|Cutton_Alders_Ext_1,,,,,,
Culm valley|COUN001713|Cutton_Alders_Ext_2,,,,,,
Culm valley|COUN001713|Cutton_Alders_Ext_Ditch,,,,,,
Culm valley|COUN001713|Cutton_Alders_Int_3,,,,,,
Culm valley|COUN001713|Dead_Moor_Drain,,,,,,
Culm valley|COUN001713|Dead_Moor_Field,,,,,,
Culm valley|COUN001713|Dead_Moor_Reed_1,,,,,,
Culm valley|COUN001713|Dead_Moor_Reed_2,,,,,,
Culm valley|COUN001713|F100,,,,,,
Culm valley|COUN001713|F101,,,,,,
Culm valley|COUN001713|F102,,,,,,
Culm valley|COUN001713|F103,,,,,,
Culm valley|COUN001713|F104,,,,,,
Culm valley|COUN001713|F105,,,,,,
Culm valley|COUN001713|F106,,,,,,
Culm valley|COUN001713|F107,,,,,,
Culm valley|COUN001713|F108,,,,,,
Culm valley|COUN001713|F65,,,,,,
Culm valley|COUN001713|F66,,,,,,
Culm valley|COUN001713|F67,,,,,,
Culm valley|COUN001713|F68,,,,,,
Culm valley|COUN001713|F69,,,,,,
Culm valley|COUN001713|F70,,,,,,
Culm valley|COUN001713|F71,,,,,,
Culm valley|COUN001713|F72,,,,,,
Culm valley|COUN001713|F73,,,,,,
Culm valley|COUN001713|F74,,,,,,
Culm valley|COUN001713|F75,,,,,,
Culm valley|COUN001713|F76,,,,,,
Culm valley|COUN001713|F77,,,,,,
Culm valley|COUN001713|F78,,,,,,
Culm valley|COUN001713|F79,,,,,,
Culm valley|COUN001713|F80,,,,,,
Culm valley|COUN001713|F81,,,,,,
Culm valley|COUN001713|F82,,,,,,
Culm valley|COUN001713|F83,,,,,,
Culm valley|COUN001713|F84,,,,,,
Culm valley|COUN001713|F85,,,,,,
Culm valley|COUN001713|F86,,,,,,
Culm valley|COUN001713|F87,,,,,,
Culm valley|COUN001713|F88,,,,,,
Culm valley|COUN001713|F89,,,,,,
Culm valley|COUN001713|F90,,,,,,
Culm valley|COUN001713|F91,,,,,,
Culm valley|COUN001713|F92,,,,,,
Culm valley|COUN001713|F93,,,,,,
Culm valley|COUN001713|F94,,,,,,
Culm valley|COUN001713|F95,,,,,,
Culm valley|COUN001713|F96,,,,,,
Culm valley|COUN001713|F97,,,,,,
Culm valley|COUN001713|F98,,,,,,
Culm valley|COUN001713|F99,,,,,,
Culm valley|COUN001713|Five_Fords10_105-120,,,,,,
Culm valley|COUN001713|Five_Fords10c_115-135,,,,,,
Culm valley|COUN001713|Five_Fords9_60-80,,,,,,
Culm valley|COUN001713|Hunkin_Wood_Bar,,,,,,
Culm valley|COUN001713|Lower_Chitterley__80-90,,,,,,
Culm valley|COUN001713|Lower_Chitterley_100-110,,,,,,
Culm valley|COUN001713|Lower_Chitterley_40-50,,,,,,
Culm valley|COUN001713|Lower_Chitterley_50-60,,,,,,
Culm valley|COUN001713|Lower_Chitterley_60-70,,,,,,
Culm valley|COUN001713|Lower_Chitterley_70-80,,,,,,
Culm valley|COUN001713|Lower_Chitterley_90-100,,,,,,
Culm valley|COUN001713|Old_Hall_40-50,,,,,,
Culm valley|COUN001713|Old_Hall_50-60,,,,,,
Culm valley|COUN001713|Old_Hall_60-70,,,,,,
Culm valley|COUN001713|Old_Hall_70-76,,,,,,
Culm valley|COUN001713|Old_Hall_80-90,,,,,,
Culm valley|COUN001713|Old_Hall_Pond,,,,,,
Culm valley|COUN001713|Palaeo,,,,,,
Culm valley|COUN001713|Park_Farm_Overbank,,,,,,
Culm valley|COUN001713|Smithincott1_110-125,,,,,,
Culm valley|COUN001713|Smithincott1_125-140,,,,,,
Culm valley|COUN001713|Smithincott1_140-155,,,,,,
Culm valley|COUN001713|Smithincott1_155-170,,,,,,
Culm valley|COUN001713|Smithincott1_95-110,,,,,,
Culm valley|COUN001713|Westcott-Hele1_140-160,,,,,,
Culm valley|COUN001713|Westcott-Hele1_190-205,,,,,,
Culm valley|COUN001713|Westcott-Hele3_170-185,,,,,,
Culm valley|COUN001713|Westcott-Hele3_185-200,,,,,,
Culm valley|COUN001713|Westcott-Hele3_200-210,,,,,,
Culm: Columbjohn Reach|COUN001717|C_Bar,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C_Cutoff_1a,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C_Cutoff_1b,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C_Cutoff_2a,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C_Cutoff_2b,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C_Ditch,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C_Overbank_1,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C_Overbank_2,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C_Pond_1,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C_Pond_2,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C10_150-160,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C10_160-170,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C11_135-150,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C3__180-190,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C3_140-150,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C3_150-160,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C3_160-170,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|C3_170-180,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|Hunkin_Wood_Bar,,,,True,10000,0
Culm: Columbjohn Reach|COUN001717|Old_Hall_Pond,,,,True,10000,0
Culm: Five Fords Reach|COUN001719|Five_Fords10_105-120,,,,True,10000,0
Culm: Five Fords Reach|COUN001719|Five_Fords10c_115-135,,,,True,10000,0
Culm: Five Fords Reach|COUN001719|Five_Fords9_60-80,,,,True,10000,0
Culm: Smithincott Reach|COUN001715|S110-125,True,,,,910,765
Culm: Smithincott Reach|COUN001715|S125-140,True,,,,955,810
Culm: Smithincott Reach|COUN001715|S140-155,True,,,,908,751
Culm: Smithincott Reach|COUN001715|S155-170,True,,,,917,793
Culm: Smithincott Reach|COUN001715|S95-110,True,,,,956,601
Culm: Westcott Hele Reach|COUN001718|W-H_1_140-160,,,,True,10000,0
Culm: Westcott Hele Reach|COUN001718|W-H_1_190-205,,,,True,10000,0
Culm: Westcott Hele Reach|COUN001718|W-H3_170-185,,,,True,10000,0
Culm: Westcott Hele Reach|COUN001718|W-H3_185-200,,,,True,10000,0
Culm: Westcott Hele Reach|COUN001718|W-H3_200-210,,,,True,10000,0
Davenham: Church Moss|COUN001734|DvE213,,,,,,
Davenham: Church Moss|COUN001734|DvE217,,,,,,
Davenham: Church Moss|COUN001734|DvE218,,,,,,
Davenham: Church Moss|COUN001734|DvE219,,,,,,
Davenham: Church Moss|COUN001734|DvE221,,,,,,
Davenham: Church Moss|COUN001734|DvE222,,,,,,
Davenham: Church Moss|COUN001734|DvE223,,,,,,
Davenham: Church Moss|COUN001734|DvE225,,,,,,
Davenham: Church Moss|COUN001734|DvE227,,,,,,
Davenham: Church Moss|COUN001735|DvJ402,True,,,,8972,8598
Davenham: Church Moss|COUN001735|DvJ404,True,,,,9754,9467
Davenham: Church Moss|COUN001735|DvJ501,True,,,,14957,14275
Davenham: Church Moss|COUN001735|DvJ503,True,,,,12872,12458
Davenham: Church Moss|COUN001735|DvJ504,True,,,,11039,10518
Davenham: Church Moss|COUN001735|DvJ505,True,,,,11448,10998
Davenham: Church Moss|COUN001735|DvJ506,True,,,,12370,11473
Davenham: Church Moss|COUN001735|DvJ507,True,,,,11734,11345
Davenham: Church Moss|COUN001735|DvJ508,True,,,,11449,11172
Davenham: Church Moss|COUN001735|DvJ510,True,,,,11690,11353
Davenham: Church Moss|COUN001735|DvJ511,True,,,,11329,11088
Davenham: Church Moss|COUN001735|DvJ514,True,,,,10976,10758
Davenham: Church Moss|COUN001735|DvJ518,True,,,,10540,10317
Davenham: Church Moss|COUN001735|DvJ521,True,,,,10235,9934
Davenham: Church Moss|COUN001736|DvB108,True,,,,12600,11975
Davenham: Church Moss|COUN001736|DvB109,True,,,,12600,11975
Davenham: Church Moss|COUN001736|DvB110,True,,,,12600,11975
Davenham: Church Moss|COUN001736|DvB99,True,,,,12600,11975
Dundonald Burn|COUN001694|S1,,,,True,10000,7000
Grand Marais de Boussens|COUN001744|S1,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S10,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S11,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S12,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S13,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S14,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S15,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S16,True,,,,15600,15060
Grand Marais de Boussens|COUN001744|S17,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S2,True,,,,13065,12750
Grand Marais de Boussens|COUN001744|S3,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S4,True,,,,13155,12785
Grand Marais de Boussens|COUN001744|S5,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S6,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S7,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S8,,,,True,13500,10000
Grand Marais de Boussens|COUN001744|S9,,,,True,13500,10000
Lednica|COUN001737|S1,,,,True,13500,10000
Lednica|COUN001737|S10,,,,True,13500,10000
Lednica|COUN001737|S11,,,,True,13500,10000
Lednica|COUN001737|S12,,,,True,13500,10000
Lednica|COUN001737|S13,,,,True,13500,10000
Lednica|COUN001737|S14,,,,True,13500,10000
Lednica|COUN001737|S15,,,,True,13500,10000
Lednica|COUN001737|S16,,,,True,13500,10000
Lednica|COUN001737|S17,,,,True,13500,10000
Lednica|COUN001737|S18,,,,True,13500,10000
Lednica|COUN001737|S2,,,,True,13500,10000
Lednica|COUN001737|S3,,,,True,13500,10000
Lednica|COUN001737|S4,,,,True,13500,10000
Lednica|COUN001737|S5,,,,True,13500,10000
Lednica|COUN001737|S6,,,,True,13500,10000
Lednica|COUN001737|S7,,,,True,13500,10000
Lednica|COUN001737|S8,,,,True,13500,10000
Lednica|COUN001737|S9,,,,True,13500,10000
Lent|COUN001762|BugsPresence,,,,True,122000,10000
Leusden-Den Treek|COUN001733|10,,,,True,13500,10000
Leusden-Den Treek|COUN001733|11,,,,True,13500,10000
Leusden-Den Treek|COUN001733|12,,,,True,13500,10000
Leusden-Den Treek|COUN001733|13,,,,True,13500,10000
Leusden-Den Treek|COUN001733|14A,,,,True,13500,10000
Leusden-Den Treek|COUN001733|14B,,,,True,13500,10000
Leusden-Den Treek|COUN001733|15A,,,,True,13500,10000
Leusden-Den Treek|COUN001733|15B,,,,True,13500,10000
