identifier,Chosen_C14,Chosen_OtherRadio,Chosen_Calendar,Chosen_Period,AgeFrom,AgeTo
Leusden-Den Treek|COUN001733|16A,,,,True,13500,10000
Leusden-Den Treek|COUN001733|16B,,,,True,13500,10000
Leusden-Den Treek|COUN001733|17A,,,,True,13500,10000
Leusden-Den Treek|COUN001733|17B,,,,True,13500,10000
Leusden-Den Treek|COUN001733|18A,,,,True,13500,10000
Leusden-Den Treek|COUN001733|18B,,,,True,13500,10000
Leusden-Den Treek|COUN001733|19A,,,,True,13500,10000
Leusden-Den Treek|COUN001733|19B,,,,True,13500,10000
Leusden-Den Treek|COUN001733|20A,,,,True,13500,10000
Leusden-Den Treek|COUN001733|20B,,,,True,13500,10000
Leusden-Den Treek|COUN001733|21A,,,,True,13500,10000
Leusden-Den Treek|COUN001733|21B,,,,True,13500,10000
Leusden-Den Treek|COUN001733|22,,,,True,13500,10000
Leusden-Den Treek|COUN001733|23,,,,True,13500,10000
Leusden-Den Treek|COUN001733|24,,,,True,13500,10000
Leusden-Den Treek|COUN001733|9,,,,True,13500,10000
Logie|COUN001740|S1,,,,True,13500,10000
Logie|COUN001740|S10,,,,True,13500,10000
Logie|COUN001740|S11,,,,True,13500,10000
Logie|COUN001740|S12,,,,True,13500,10000
Logie|COUN001740|S13,,,,True,13500,10000
Logie|COUN001740|S14,,,,True,13500,10000
Logie|COUN001740|S15,,,,True,13500,10000
Logie|COUN001740|S16,,,,True,13500,10000
Logie|COUN001740|S17,,,,True,13500,10000
Logie|COUN001740|S18,,,,True,13500,10000
Logie|COUN001740|S19,,,,True,13500,10000
Logie|COUN001740|S2,,,,True,13500,10000
Logie|COUN001740|S20,,,,True,13500,10000
Logie|COUN001740|S21,,,,True,13500,10000
Logie|COUN001740|S22,,,,True,13500,10000
Logie|COUN001740|S23,,,,True,13500,10000
Logie|COUN001740|S24,,,,True,13500,10000
Logie|COUN001740|S25,,,,True,13500,10000
Logie|COUN001740|S3,,,,True,13500,10000
Logie|COUN001740|S4,,,,True,13500,10000
Logie|COUN001740|S5,,,,True,13500,10000
Logie|COUN001740|S6,,,,True,13500,10000
Logie|COUN001740|S7,,,,True,13500,10000
Logie|COUN001740|S8,,,,True,13500,10000
Logie|COUN001740|S9,,,,True,13500,10000
Moaness|COUN001711|M1/16,,,,True,10000,0
Moaness|COUN001711|M1/17,,,,True,10000,0
Moaness|COUN001711|M1/18,,,,True,10000,0
Moaness|COUN001711|M1/19,,,,True,10000,0
Moaness|COUN001711|M1/20,,,,True,10000,0
Moaness|COUN001711|M1/21,,,,True,10000,0
Moaness|COUN001711|M1/22,,,,True,10000,0
Moaness|COUN001711|M1/23,,,,True,10000,0
Moaness|COUN001711|M1/24,,,,True,10000,0
Moaness|COUN001711|M1/25,,,,True,10000,0
Moaness|COUN001711|M1/26,,,,True,10000,0
Moaness|COUN001711|M1/27,,,,True,10000,0
Moaness|COUN001711|M1/28,,,,True,10000,0
Moaness|COUN001711|M1/29,,,,True,10000,0
Moaness|COUN001711|M1/30,,,,True,10000,0
Moaness|COUN001711|M1/31,,,,True,10000,0
Moaness|COUN001711|TP2,True,,,,10000,2357
Moaness|COUN001725|TP1_55,,,,,,
Moaness|COUN001725|TP1_60,,,,,,
Moaness|COUN001725|TP1_65,,,,,,
Moaness|COUN001725|TP1_70,,,,,,
Moaness|COUN001725|TP1_75,,,,,,
Moaness|COUN001725|TP1_80,,,,,,
Moaness|COUN001725|TP1_85,,,,,,
Moarna|COUN001746|BugsPresence,,,,,,
Moarna|COUN001746|S1,True,,,,10000,5610
Moarna|COUN001746|S2A,,,,True,10000,0
Moarna|COUN001746|S2B,,,,True,10000,0
Moarna|COUN001746|S3,,,,True,10000,0
Moarna|COUN001746|S4,,,,True,10000,0
Moarna|COUN001746|S5,,,,True,10000,0
Moarna|COUN001746|S6A,,,,True,10000,0
Moarna|COUN001746|S6B,,,,True,10000,0
Moarna|COUN001746|S7,True,,,,8980,8430
Moarna|COUN001746|S8,True,,,,12610,11655
Newtown|COUN001756|578/270,,,,,,
Newtown|COUN001756|581/288,,,,,,
Newtown|COUN001756|586/285,,,,,,
Newtown|COUN001756|587/276,,,,,,
Newtown|COUN001756|588/283,,,,,,
Newtown|COUN001756|590/275,,,,,,
Newtown|COUN001756|591/280,,,,,,
Newtown|COUN001756|596/273/278,,,,,,
Newtown|COUN001756|600/264,,,,,,
Newtown|COUN001756|603/269,,,,,,
Newtown|COUN001756|603/269a,,,,,,
Newtown|COUN001756|604/258,,,,,,
Newtown|COUN001756|610/259,,,,,,
Newtown|COUN001756|610/278,,,,,,
Newtown|COUN001756|617/275,,,,,,
Newtown|COUN001756|618/260,,,,,,
Newtown|COUN001756|620/179,,,,,,
Newtown|COUN001756|620/243,,,,,,
Newtown|COUN001756|621/265,,,,,,
Newtown|COUN001756|623/187,,,,,,
Newtown|COUN001756|623/205,,,,,,
Newtown|COUN001756|624/201,,,,,,
Newtown|COUN001756|625/189,,,,,,
Newtown|COUN001756|625/192,,,,,,
Newtown|COUN001756|625/195,,,,,,
Newtown|COUN001756|625/197,,,,,,
Newtown|COUN001756|625/198,,,,,,
Newtown|COUN001756|625/198aug,,,,,,
Newtown|COUN001756|625/198aug2,,,,,,
Newtown|COUN001756|625/198aug3,,,,,,
Newtown|COUN001756|625/198aug4,,,,,,
Newtown|COUN001756|625/198aug5,,,,,,
Newtown|COUN001756|625/198aug6,,,,,,
Newtown|COUN001756|625/198aug7,,,,,,
Newtown|COUN001756|625/198aug8,,,,,,
Newtown|COUN001756|625/200,,,,,,
Newtown|COUN001756|625/202,,,,,,
Newtown|COUN001756|625/218,,,,,,
Newtown|COUN001756|625/241,,,,,,
Newtown|COUN001756|625/241-2,,,,,,
Newtown|COUN001756|626/192-1,,,,,,
Newtown|COUN001756|626/192-2,,,,,,
Newtown|COUN001756|626/192-3,,,,,,
Newtown|COUN001756|626/192-4,,,,,,
Newtown|COUN001756|626/192-5,,,,,,
Newtown|COUN001756|626/202-1,,,,,,
Newtown|COUN001756|626/202-2,,,,,,
Newtown|COUN001756|626/214,,,,,,
Newtown|COUN001756|628/179,,,,,,
Newtown|COUN001756|628/179-2,,,,,,
Newtown|COUN001756|628/179-s1,,,,,,
Newtown|COUN001756|628/190,,,,,,
Newtown|COUN001756|628/211,,,,,,
Newtown|COUN001756|628/268,,,,,,
Newtown|COUN001756|630/160,,,,,,
Newtown|COUN001756|630/175,,,,,,
Newtown|COUN001756|630/176s10,,,,,,
Newtown|COUN001756|630/177-s2,,,,,,
Newtown|COUN001756|630/177-s3,,,,,,
Newtown|COUN001756|630/177-s4,,,,,,
Newtown|COUN001756|630/177s5,,,,,,
Newtown|COUN001756|630/177s6,,,,,,
Newtown|COUN001756|630/177s7,,,,,,
Newtown|COUN001756|630/177s8,,,,,,
Newtown|COUN001756|630/177s9,,,,,,
Newtown|COUN001756|630/178,,,,,,
Newtown|COUN001756|630/178bulk,,,,,,
Newtown|COUN001756|630/196-1,,,,,,
Newtown|COUN001756|630/196-2,,,,,,
Newtown|COUN001756|631/176s11,,,,,,
Newtown|COUN001756|631/176s12,,,,,,
Newtown|COUN001756|631/176s13,,,,,,
Newtown|COUN001756|631/176s14,,,,,,
Newtown|COUN001756|631/177-1,,,,,,
Newtown|COUN001756|631/177-2,,,,,,
Newtown|COUN001756|631/177-3,,,,,,
Newtown|COUN001756|631/243,,,,,,
Newtown|COUN001756|632/165,,,,,,
Newtown|COUN001756|632/184,,,,,,
Newtown|COUN001756|632/184-2,,,,,,
Newtown|COUN001756|632/202,,,,,,
Newtown|COUN001756|633/216,,,,,,
Newtown|COUN001756|633/275,,,,,,
Newtown|COUN001756|634/151,,,,,,
Newtown|COUN001756|634/151-2,,,,,,
Newtown|COUN001756|634/151-635,,,,,,
Newtown|COUN001756|634/259,,,,,,
Newtown|COUN001756|635/145,,,,,,
Newtown|COUN001756|635/155,,,,,,
Newtown|COUN001756|635/187,,,,,,
Newtown|COUN001756|635/190,,,,,,
Newtown|COUN001756|636/172,,,,,,
Newtown|COUN001756|637/164,,,,,,
Newtown|COUN001756|638/146,,,,,,
Newtown|COUN001756|640/140,,,,,,
Newtown|COUN001756|640/155,,,,,,
Newtown|COUN001756|640/160,,,,,,
Newtown|COUN001756|641/150,,,,,,
Newtown|COUN001756|642/144,,,,,,
Newtown|COUN001756|642/145,,,,,,
Newtown|COUN001756|643/134,,,,,,
Newtown|COUN001756|644/145,,,,,,
Newtown|COUN001756|646/151,,,,,,
Newtown|COUN001756|647/143,,,,,,
Newtown|COUN001756|648/146,,,,,,
Newtown|COUN001756|649/147,,,,,,
Newtown|COUN001756|649/148,,,,,,
Newtown|COUN001756|651/145,,,,,,
Newtown|COUN001756|652/141,,,,,,
Newtown|COUN001756|653/134,,,,,,
Newtown|COUN001756|657/123,,,,,,
Newtown|COUN001756|659/123,,,,,,
Newtown|COUN001756|662/108,,,,,,
Newtown|COUN001756|663/111,,,,,,
Newtown|COUN001756|664/109,,,,,,
Newtown|COUN001756|665/111,,,,,,
Newtown|COUN001756|666/109,,,,,,
Newtown|COUN001756|666/113,,,,,,
Newtown|COUN001756|667/113,,,,,,
Newtown|COUN001756|708/069,,,,,,
Newtown|COUN001756|712/068,,,,,,
Newtown|COUN001756|714/064s10-15,,,,,,
Newtown|COUN001756|714/064s15-20,,,,,,
Newtown|COUN001756|714/064s20-25,,,,,,
Newtown|COUN001756|714/064s25-31,,,,,,
Newtown|COUN001756|714/064s31-38,,,,,,
Newtown|COUN001756|714/064s38-43,,,,,,
Newtown|COUN001756|714/064s43-45,,,,,,
Newtown|COUN001756|714/064s45-48,,,,,,
Newtown|COUN001756|714/064s48-52,,,,,,
Newtown|COUN001756|714/064s5-10,,,,,,
Newtown|COUN001756|714/064s52-56,,,,,,
Newtown|COUN001756|714/064s56-63,,,,,,
Newtown|COUN001756|714/064s63-70,,,,,,
Newtown|COUN001756|714/064s70-75,,,,,,
Newtown|COUN001756|714/064s75-78,,,,,,
Newtown|COUN001756|714/064s78-84,,,,,,
Newtown|COUN001756|714/064s84-91,,,,,,
Newtown|COUN001756|722/058,,,,,,
Newtown|COUN001756|722/059,,,,,,
Newtown|COUN001756|725/056,,,,,,
Newtown|COUN001756|728/053,,,,,,
Newtown|COUN001756|730/052,,,,,,
Newtown|COUN001756|731/051,,,,,,
Ricksy Ball|COUN001759|S1,,,,True,10000,0
Ricksy Ball|COUN001759|S2,,,,True,10000,0
Ricksy Ball|COUN001759|S3,,,,True,10000,0
Ricksy Ball|COUN001759|S4,,,,True,10000,0
Ricksy Ball|COUN001759|S5,True,,,,445,0
Ricksy Ball|COUN001759|S6,,,,True,10000,0
Ricksy Ball|COUN001759|S7,,,,True,10000,0
Santorini|COUN001751|BugsPresence,,,,True,122000,10000
"Shardlow: Channels G2, E, A and F|COUN001731|S1039_1",,,,True,1907,1540
"Shardlow: Channels G2, E, A and F|COUN001731|S1039_2",,,,True,1907,1540
"Shardlow: Channels G2, E, A and F|COUN001731|S1500",,,True,,5990,5759
"Shardlow: Channels G2, E, A and F|COUN001731|S5002",,,True,,10483,6800
"Shardlow: Channels G2, E, A and F|COUN001731|S5003",,,True,,10483,6800
"Shardlow: Channels G2, E, A and F|COUN001731|S5005",,,,True,10000,0
