identifier;dataset_identifier;SheetContext;ZorDepthBot;RADIO_CalibC14_Notes_simpl;RADIO_CalibC14__yrmax;RADIO_CalibC14__yrmin;RADIO_CalibC14_from_yrmax;RADIO_CalibC14_from_yrmin;RADIO_CalibC14_to_yrmax;RADIO_CalibC14_to_yrmin;RADIO_CalibC14_Method;RADIO_TL_yrmin;RADIO_TL_yrmax;RADIO_TL_Method;RADIO;CAL_From_BP;CAL_To_BP;CALENDAR;PER_Notes;PER_BeginBP;PER_EndBP;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDates;C14_older_than_30000BP;From_Method;To_Method;From_AgeErrorOrPlusError;To_AgeErrorOrPlusError;AgeFrom;AgeTo;ss
Culm valley|COUN001713|F90;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F91;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F92;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F93;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F94;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F95;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F96;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F97;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F98;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F99;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Five_Fords10_105-120;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Five_Fords10c_115-135;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Five_Fords9_60-80;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Hunkin_Wood_Bar;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Lower_Chitterley__80-90;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Lower_Chitterley_100-110;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Lower_Chitterley_40-50;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Lower_Chitterley_50-60;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Lower_Chitterley_60-70;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Lower_Chitterley_70-80;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Lower_Chitterley_90-100;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Old_Hall_40-50;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Old_Hall_50-60;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Old_Hall_60-70;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Old_Hall_70-76;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Old_Hall_80-90;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Old_Hall_Pond;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Palaeo;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Park_Farm_Overbank;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Smithincott1_110-125;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Smithincott1_125-140;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Smithincott1_140-155;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Smithincott1_155-170;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Smithincott1_95-110;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Westcott-Hele1_140-160;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Westcott-Hele1_190-205;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Westcott-Hele3_170-185;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Westcott-Hele3_185-200;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Westcott-Hele3_200-210;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm: Columbjohn Reach|COUN001717|C_Bar;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C_Cutoff_1a;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C_Cutoff_1b;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C_Cutoff_2a;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C_Cutoff_2b;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C_Ditch;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C_Overbank_1;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C_Overbank_2;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C_Pond_1;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C_Pond_2;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C10_150-160;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C10_160-170;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C11_135-150;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C3__180-190;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C3_140-150;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C3_150-160;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C3_160-170;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|C3_170-180;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|Hunkin_Wood_Bar;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Columbjohn Reach|COUN001717|Old_Hall_Pond;Culm: Columbjohn Reach|COUN001717;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Five Fords Reach|COUN001719|Five_Fords10_105-120;Culm: Five Fords Reach|COUN001719;Stratigraphic sequence;105;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Five Fords Reach|COUN001719|Five_Fords10c_115-135;Culm: Five Fords Reach|COUN001719;Stratigraphic sequence;115;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Five Fords Reach|COUN001719|Five_Fords9_60-80;Culm: Five Fords Reach|COUN001719;Stratigraphic sequence;60;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Smithincott Reach|COUN001715|S110-125;Culm: Smithincott Reach|COUN001715;Stratigraphic sequence;110;;910;765;;;;;CalibC14;;;;True;;;False;;10000;0;True;765;910;;;;;0;10000;True;;;;;;;;;;;910;765;
Culm: Smithincott Reach|COUN001715|S125-140;Culm: Smithincott Reach|COUN001715;Stratigraphic sequence;125;;955;810;;;;;CalibC14;;;;True;;;False;;10000;0;True;810;955;;;;;0;10000;True;;;;;;;;;;;955;810;
Culm: Smithincott Reach|COUN001715|S140-155;Culm: Smithincott Reach|COUN001715;Stratigraphic sequence;140;;908;751;;;;;CalibC14;;;;True;;;False;;10000;0;True;751;908;;;;;0;10000;True;;;;;;;;;;;908;751;
Culm: Smithincott Reach|COUN001715|S155-170;Culm: Smithincott Reach|COUN001715;Stratigraphic sequence;155;;917;793;;;;;CalibC14;;;;True;;;False;;10000;0;True;793;917;;;;;0;10000;True;;;;;;;;;;;917;793;
Culm: Smithincott Reach|COUN001715|S95-110;Culm: Smithincott Reach|COUN001715;Stratigraphic sequence;95;;956;601;;;;;CalibC14;;;;True;;;False;;10000;0;True;601;956;;;;;0;10000;True;;;;;;;;;;;956;601;
Culm: Westcott Hele Reach|COUN001718|W-H_1_140-160;Culm: Westcott Hele Reach|COUN001718;Stratigraphic sequence;140;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Westcott Hele Reach|COUN001718|W-H_1_190-205;Culm: Westcott Hele Reach|COUN001718;Stratigraphic sequence;190;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Westcott Hele Reach|COUN001718|W-H3_170-185;Culm: Westcott Hele Reach|COUN001718;Stratigraphic sequence;170;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Westcott Hele Reach|COUN001718|W-H3_185-200;Culm: Westcott Hele Reach|COUN001718;Stratigraphic sequence;185;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Culm: Westcott Hele Reach|COUN001718|W-H3_200-210;Culm: Westcott Hele Reach|COUN001718;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Davenham: Church Moss|COUN001734|DvE213;Davenham: Church Moss|COUN001734;Stratigraphic sequence;45;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Davenham: Church Moss|COUN001734|DvE217;Davenham: Church Moss|COUN001734;Stratigraphic sequence;85;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Davenham: Church Moss|COUN001734|DvE218;Davenham: Church Moss|COUN001734;Stratigraphic sequence;95;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Davenham: Church Moss|COUN001734|DvE219;Davenham: Church Moss|COUN001734;Stratigraphic sequence;105;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Davenham: Church Moss|COUN001734|DvE221;Davenham: Church Moss|COUN001734;Stratigraphic sequence;125;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Davenham: Church Moss|COUN001734|DvE222;Davenham: Church Moss|COUN001734;Stratigraphic sequence;135;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Davenham: Church Moss|COUN001734|DvE223;Davenham: Church Moss|COUN001734;Stratigraphic sequence;145;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Davenham: Church Moss|COUN001734|DvE225;Davenham: Church Moss|COUN001734;Stratigraphic sequence;155;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Davenham: Church Moss|COUN001734|DvE227;Davenham: Church Moss|COUN001734;Stratigraphic sequence;180;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Davenham: Church Moss|COUN001735|DvJ402;Davenham: Church Moss|COUN001735;Stratigraphic sequence;10;;8972;8598;;;;;CalibC14;;;;True;;;False;;;;False;8598;8972;;;;;;;True;;;;;;;;;;;8972;8598;
Davenham: Church Moss|COUN001735|DvJ404;Davenham: Church Moss|COUN001735;Stratigraphic sequence;30;;9754;9467;;;;;CalibC14;;;;True;;;False;;;;False;9467;9754;;;;;;;True;;;;;;;;;;;9754;9467;
Davenham: Church Moss|COUN001735|DvJ501;Davenham: Church Moss|COUN001735;Stratigraphic sequence;290;;14957;14275;;;;;CalibC14;;;;True;;;False;;;;False;14275;14957;;;;;;;True;;;;;;;;;;;14957;14275;
Davenham: Church Moss|COUN001735|DvJ503;Davenham: Church Moss|COUN001735;Stratigraphic sequence;280;;12872;12458;;;;;CalibC14;;;;True;;;False;;;;False;12458;12872;;;;;;;True;;;;;;;;;;;12872;12458;
Davenham: Church Moss|COUN001735|DvJ504;Davenham: Church Moss|COUN001735;Stratigraphic sequence;270;;11039;10518;;;;;CalibC14;;;;True;;;False;;;;False;10518;11039;;;;;;;True;;;;;;;;;;;11039;10518;
Davenham: Church Moss|COUN001735|DvJ505;Davenham: Church Moss|COUN001735;Stratigraphic sequence;255;;11448;10998;;;;;CalibC14;;;;True;;;False;;;;False;10998;11448;;;;;;;True;;;;;;;;;;;11448;10998;
Davenham: Church Moss|COUN001735|DvJ506;Davenham: Church Moss|COUN001735;Stratigraphic sequence;240;;12370;11473;;;;;CalibC14;;;;True;;;False;;;;False;11473;12370;;;;;;;True;;;;;;;;;;;12370;11473;
Davenham: Church Moss|COUN001735|DvJ507;Davenham: Church Moss|COUN001735;Stratigraphic sequence;230;;11734;11345;;;;;CalibC14;;;;True;;;False;;;;False;11345;11734;;;;;;;True;;;;;;;;;;;11734;11345;
Davenham: Church Moss|COUN001735|DvJ508;Davenham: Church Moss|COUN001735;Stratigraphic sequence;222;;11449;11172;;;;;CalibC14;;;;True;;;False;;;;False;11172;11449;;;;;;;True;;;;;;;;;;;11449;11172;
Davenham: Church Moss|COUN001735|DvJ510;Davenham: Church Moss|COUN001735;Stratigraphic sequence;200;;11690;11353;;;;;CalibC14;;;;True;;;False;;;;False;11353;11690;;;;;;;True;;;;;;;;;;;11690;11353;
Davenham: Church Moss|COUN001735|DvJ511;Davenham: Church Moss|COUN001735;Stratigraphic sequence;190;;11329;11088;;;;;CalibC14;;;;True;;;False;;;;False;11088;11329;;;;;;;True;;;;;;;;;;;11329;11088;
Davenham: Church Moss|COUN001735|DvJ514;Davenham: Church Moss|COUN001735;Stratigraphic sequence;160;;10976;10758;;;;;CalibC14;;;;True;;;False;;;;False;10758;10976;;;;;;;True;;;;;;;;;;;10976;10758;
Davenham: Church Moss|COUN001735|DvJ518;Davenham: Church Moss|COUN001735;Stratigraphic sequence;120;;10540;10317;;;;;CalibC14;;;;True;;;False;;;;False;10317;10540;;;;;;;True;;;;;;;;;;;10540;10317;
Davenham: Church Moss|COUN001735|DvJ521;Davenham: Church Moss|COUN001735;Stratigraphic sequence;90;;10235;9934;;;;;CalibC14;;;;True;;;False;;;;False;9934;10235;;;;;;;True;;;;;;;;;;;10235;9934;
Davenham: Church Moss|COUN001736|DvB108;Davenham: Church Moss|COUN001736;Other Palaeo;;which of 4 frost features not specified.;12600;11975;;;;;CalibC14;;;;True;;;False;;;;False;11975;12600;;;;;;;True;;;;;;;;;;;12600;11975;
Davenham: Church Moss|COUN001736|DvB109;Davenham: Church Moss|COUN001736;Other Palaeo;;which of 4 frost features not specified.;12600;11975;;;;;CalibC14;;;;True;;;False;;;;False;11975;12600;;;;;;;True;;;;;;;;;;;12600;11975;
Davenham: Church Moss|COUN001736|DvB110;Davenham: Church Moss|COUN001736;Other Palaeo;;which of 4 frost features not specified.;12600;11975;;;;;CalibC14;;;;True;;;False;;;;False;11975;12600;;;;;;;True;;;;;;;;;;;12600;11975;
Davenham: Church Moss|COUN001736|DvB99;Davenham: Church Moss|COUN001736;Other Palaeo;;which of 4 frost features not specified.;12600;11975;;;;;CalibC14;;;;True;;;False;;;;False;11975;12600;;;;;;;True;;;;;;;;;;;12600;11975;
Dundonald Burn|COUN001694|S1;Dundonald Burn|COUN001694;Other Palaeo;;;;;;;;;;;;;False;;;False;Sample from adjacent to Boyd's pollen diagram.;10000;7000;True;;;;;;;7000;10000;;;;True;;;;;;;;10000;7000;
Grand Marais de Boussens|COUN001744|S1;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S10;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S11;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S12;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S13;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S14;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S15;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S16;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;15600;15060;;;;;CalibC14;;;;True;;;False;;13500;10000;True;15060;15600;;;;;10000;13500;True;;;;;;;;;;;15600;15060;
Grand Marais de Boussens|COUN001744|S17;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S2;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;13065;12750;;;;;CalibC14;;;;True;;;False;;13500;10000;True;12750;13065;;;;;10000;13500;True;;;;;;;;;;;13065;12750;
Grand Marais de Boussens|COUN001744|S3;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S4;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;13155;12785;;;;;CalibC14;;;;True;;;False;;13500;10000;True;12785;13155;;;;;10000;13500;True;;;;;;;;;;;13155;12785;
Grand Marais de Boussens|COUN001744|S5;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S6;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S7;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S8;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Grand Marais de Boussens|COUN001744|S9;Grand Marais de Boussens|COUN001744;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S1;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S10;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S11;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S12;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S13;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S14;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S15;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S16;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S17;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S18;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S2;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
Lednica|COUN001737|S3;Lednica|COUN001737;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;13500;10000;True;;;;;;;10000;13500;;;;True;;;;;;;;13500;10000;
