identifier;dataset_identifier;SheetContext;ZorDepthBot;RADIO_CalibC14_Notes_simpl;RADIO_CalibC14__yrmax;RADIO_CalibC14__yrmin;RADIO_CalibC14_from_yrmax;RADIO_CalibC14_from_yrmin;RADIO_CalibC14_to_yrmax;RADIO_CalibC14_to_yrmin;RADIO_CalibC14_Method;RADIO_TL_yrmin;RADIO_TL_yrmax;RADIO_TL_Method;RADIO;CAL_From_BP;CAL_To_BP;CALENDAR;PER_Notes;PER_BeginBP;PER_EndBP;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDates;C14_older_than_30000BP;From_Method;To_Method;From_AgeErrorOrPlusError;To_AgeErrorOrPlusError;AgeFrom;AgeTo;ss
Bay of Ireland|COUN001705|S170-180;Bay of Ireland|COUN001705;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Bay of Ireland|COUN001705|S180-190;Bay of Ireland|COUN001705;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Bay of Ireland|COUN001705|S190-200;Bay of Ireland|COUN001705;Stratigraphic sequence;;;;;6940;6675;;;CalibC14;;;;True;;;False;;10000;0;True;;6940;;;;;0;10000;True;;;;;;;;;;;6940;0;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|C3a;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|C3b;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|C3c;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|C3d;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|COS;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM1;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;30;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM1B;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;30;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM2;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;25;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM2B;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;25;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM3;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;20;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM3B;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;20;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM4;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;15;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM4B;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;15;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM5;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;10;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM5B;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;10;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM6;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;5;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM6B;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;5;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM7;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;0;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|NEM7B;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;0;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|SP;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|SWM1a;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|SWM1b;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Chelford: Norfolk Farm (Oakwood West)|COUN001754|SWM1c;Chelford: Norfolk Farm (Oakwood West)|COUN001754;Other Palaeo;;;;;;;;;;818900;842600;TL;True;;;False;;;;False;;;818900;842600;;;;;;True;;;;;;TL;TL;8500;8200;851100;810700;
Culm valley|COUN001712|S110-125;Culm valley|COUN001712;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001712|S125-140;Culm valley|COUN001712;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001712|S140-155;Culm valley|COUN001712;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001712|S155-170;Culm valley|COUN001712;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001712|S95-110;Culm valley|COUN001712;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn_Bar;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn_Cutoff_1a;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn_Cutoff_1b;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn_Cutoff_2a;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn_Cutoff_2b;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn_Ditch;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn_Overbank_1;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn_Overbank_2;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn_Pond_1;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn_Pond_2;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn10_150-160;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
