SEAD_taxonomic_code	SEAD_taxon_id	SEAD_taxon	SEAD_author_name	Dyntaxa_taxonID
93,076001	34635	Rhopalomesites tardii	(Curtis)	213430
7,001016	29756	Hydraena testacea	Curtis	101090
69,001001	33139	Gibbium psylloides	(Czen.)	105294
1,016009	28979	Dyschirius impunctipennis	Daws.	100873
1,029081	29097	Bembidion clarkii	(Dawson)	103386
93,040003	34558	Strophosoma capitatum	(Deg.)	106298
88,051017	33970	Longitarsus melanocephalus	(Deg.)	106105
17,002007	30234	Clambus armadillo	(Deg.)	105005
4,032001	29721	Cybister lateralimarginalis	(Deg.)	100773
1,041021	29174	Harpalus rufipes	(Deg.)	103500
85,019066	33521	Aphodius ater	(Deg.)	105052
4,016002	29599	Boreonectes griseostriatus	(Deg.)	103630
1,065021	29365	Amara aenea	(Deg.)	103457
34,035001	32121	Pheletes aeneoniger	(Deg.)	105158
45,001001	32305	Dermestes maculatus	Deg.	105241
93,125022	34851	Hypera plantaginis	(Deg.)	101116
87,024001	33634	Alosterna tabacicolor	(Deg.)	105911
93,106005	34769	Anthonomus ulmi	(Deg.)	100318
88,028002	33837	Gastrophysa viridula	(Deg.)	106031
34,037001	32123	Diacanthous undulatus	(Deg.)	101043
58,003001	32784	Stephostethus lardarius	(Deg.)	105705
45,001013	32311	Dermestes ater	Deg.	105249
93,027008	34523	Polydrusus flavipes	(Deg.)	106279
4,028004	29701	Hydaticus seminiger	(Deg.)	103685
68,012001	33104	Anobium punctatum	(Deg.)	105323
4,019001	29617	Noterus clavicornis	(Deg.)	103576
87,011003	33617	Rhagium mordax	(Deg.)	105901
31,014003	32024	Necrobia rufipes	(Deg.)	105348
1,062002	29318	Sericoda quadripunctata	(Deg.)	100215
93,008002	34299	Involvulus caeruleus	(Deg.)	212961
68,005002	33085	Xestobium rufovillosum	(Deg.)	105313
30,005005	31998	Dasytes caeruleus	(Deg.)	105353
23,099017	31064	Ocypus aeneocephalus	(Deg.)	104122
93,015002	34430	Otiorhynchus atroapterus	(Deg.)	106261
23,096002	31048	Dinothenarus pubescens	(Deg.)	100835
31,013001	32021	Korynetes caeruleus	(Deg.)	105346
49,001001	32404	Byturus tomentosus	(Deg.)	105751
4,024002	29668	Ilybius ater	(Deg.)	103665
62,018002	32989	Hippodamia septemmaculata	(Deg.)	105661
21,019016	30384	Acrotrichis atomaria	(Deg.)	103885
1,065023	29368	Amara spreta	Dej.	103458
1,079001	29454	Paradromius longiceps	(Dej.)	103538
1,029077	29092	Bembidion schuppelii	Dej.	103382
1,016008	28978	Dyschirius politus	(Dej.)	103326
1,016015	28984	Dyschirius aeneus	(Dej.)	103328
1,079008	29458	Dromius meridionalis	Dej.	208759
1,051021	29262	Pterostichus gracilis	(Dej.)	103410
1,065017	29363	Amara curta	Dej.	103456
1,027005	29017	Tachyura parvula	(Dej.)	103396
1,079018	29468	Philorhizus melanocephalus	(Dej.)	103549
27,003006	31927	Podistra schoenherri	(Dej.)	105126
1,032001	29139	Patrobus septentrionis	Dej.	103335
1,016006	28977	Dyschirius nitidus	(Dej.)	208410
1,062024	29335	Agonum scitulum	Dej.	208585
1,041041	29185	Harpalus solitaris	Dej.	103505
1,046001	29230	Acupalpus elegans	(Dej.)	208744
1,056008	29309	Calathus rotundicollis	Dej.	103422
1,062029	29341	Agonum thoreyi	Dej.	103434
1,021005	29002	Trechus fulvus	Dej.	208438
1,006007	28928	Leistus fulvibarbis	Dej.	6011482
1,0650305	29375	Amara interstitialis	Dej.	103466
1,029084	29101	Bembidion normannum	Dej.	208503
1,065033	29377	Amara fusca	Dej.	103468
